"gameId","playId","nflId","tackle","assist","forcedFumble","pff_missedTackle","avg_x"
2022090800,101,42816,1,0,0,0,67.5281661673182
2022090800,393,46232,1,0,0,0,72.9649133339259
2022090800,486,40166,1,0,0,0,79.9724116278227
2022090800,646,47939,1,0,0,0,66.6705059847882
2022090800,818,40107,1,0,0,0,61.3174461315459
2022090800,1286,44976,1,0,0,0,54.2143838823876
2022090800,1736,44976,1,0,0,0,31.5804271057594
2022090800,2860,46085,1,0,0,0,82.0892588706639
2022090800,3092,46190,1,0,0,0,67.2813631626087
2022090800,3145,52647,1,0,0,0,59.6757072728287
2022090800,3362,46190,1,0,0,0,79.2653627580325
2022090800,3383,54488,1,0,0,0,72.9350363375769
2022091100,1260,44851,1,0,0,0,52.5835408310464
2022091100,1672,40017,1,0,0,0,55.2396524545176
2022091100,2114,53469,1,0,0,0,71.9369779917271
2022091100,2353,38607,1,0,0,0,70.5399963184338
2022091100,2512,53611,1,0,0,0,55.7420264564705
2022091100,2640,44862,1,0,0,0,50.421688378704
2022091100,2878,53489,1,0,0,0,74.0313320945436
2022091100,2899,37097,1,0,0,0,56.5714532686916
2022091100,3578,52542,1,0,0,0,54.2965752420434
2022091100,3647,53469,1,0,0,0,93.110812850981
2022091100,3778,53489,1,0,0,0,55.7389260102931
2022091101,1691,53481,1,0,0,0,79.0419043450891
2022091101,1744,44903,1,0,0,0,68.5659108503449
2022091101,1785,52452,1,0,0,0,48.1934245338692
2022091101,2051,46527,1,0,0,0,63.3781391591249
2022091101,3221,47799,1,0,0,0,88.5324573385654
2022091102,86,44938,1,0,0,0,64.1687178942321
2022091102,531,52571,1,0,0,0,81.0001187045242
2022091102,756,53609,1,0,0,0,71.1032334082399
2022091102,1493,54504,1,0,0,0,82.5668448502565
2022091102,2065,54504,1,0,0,0,76.8581964851751
2022091102,2352,46290,1,0,0,0,24.8704672804978
2022091102,2759,54504,1,0,0,0,70.065072196784
2022091102,3783,52571,1,0,0,0,31.1437109802629
2022091102,4102,54639,1,0,0,0,62.9058995740275
2022091103,520,46146,1,0,0,0,35.8156578683319
2022091103,1037,44842,1,0,0,0,56.5294295882586
2022091103,1315,46080,1,0,0,0,23.9432413222922
2022091103,1405,46080,1,0,0,0,69.0056393623238
2022091103,1672,46080,1,0,0,0,55.2396524545176
2022091103,2058,43641,1,0,0,0,52.2745452614611
2022091103,2172,46097,1,0,0,0,46.328947514338
2022091103,2222,44842,1,0,0,0,71.298288950855
2022091103,2291,46698,1,0,0,0,41.7640466482659
2022091103,2976,46097,1,0,0,0,53.2204769601017
2022091103,3147,44872,1,0,0,0,54.9032077480311
2022091103,3251,43325,1,0,0,0,47.1019301750726
2022091103,4175,43641,1,0,0,0,38.1480555816319
2022091103,4686,43641,1,0,0,0,71.8102173908621
2022091103,5096,43350,1,0,0,0,66.4822240797572
2022091104,803,52411,1,0,0,0,77.1813889979399
2022091104,910,54653,1,0,0,0,51.5682788748696
2022091104,999,47900,1,0,0,0,45.6377968962047
2022091104,1528,46259,1,0,0,0,64.3300032405245
2022091104,2269,44888,1,0,0,0,66.4573885586757
2022091104,2558,53542,1,0,0,0,50.6539836706037
2022091104,2781,43351,1,0,0,0,51.6660862463706
2022091104,2974,47888,1,0,0,0,66.988548650304
2022091104,3172,46151,1,0,0,0,62.0981094962658
2022091105,228,43356,1,0,0,0,81.2698625447836
2022091105,503,46304,1,0,0,0,52.0888584897198
2022091105,667,44964,1,0,0,0,56.3983529582282
2022091105,912,38540,1,0,0,0,79.7656698674452
2022091105,1259,42441,1,0,0,0,62.0448147357936
2022091105,1913,43358,1,0,0,0,61.116888705918
2022091105,1968,52493,1,0,0,0,60.3871114068691
2022091105,2369,46729,1,0,0,0,53.8133516823589
2022091105,2718,38540,1,0,0,0,37.5206288590152
2022091105,3971,54468,1,0,0,0,53.2434056970024
2022091105,4041,54468,1,0,0,0,61.1375297601001
2022091106,154,53465,1,0,0,0,54.4318768032632
2022091106,196,43327,1,0,0,0,73.2732366488034
2022091106,607,53465,1,0,0,0,41.2620124950117
2022091106,1544,35466,1,0,0,0,56.1958045747406
2022091106,1874,47796,1,0,0,0,52.1628689993499
2022091106,2019,44887,1,0,0,0,77.7727530043036
2022091106,2584,43503,1,0,0,0,59.3389780935334
2022091106,2767,46212,1,0,0,0,49.5682117124086
2022091106,2935,35466,1,0,0,0,60.5920784613228
2022091106,3213,54936,1,0,1,0,50.6297369978254
2022091107,275,47881,1,0,0,0,60.8535760840195
2022091107,959,54491,1,0,0,0,53.6676213313089
2022091107,1696,37778,1,0,0,0,38.6862979801864
2022091107,1841,37145,1,0,0,0,75.0215805247737
2022091107,1879,44854,1,0,0,0,66.6307817758286
2022091107,2092,46186,1,0,0,0,51.1538756992166
2022091107,2219,52479,1,0,0,0,64.8609090905613
2022091107,2659,41243,1,0,0,0,45.221879221579
2022091107,3115,41243,1,0,0,0,65.3194191360423
2022091107,3299,44854,1,0,0,0,54.5208346636837
2022091107,3398,44999,1,0,0,0,62.2537933358202
2022091107,3503,54479,1,0,0,0,70.8149017883983
2022091109,412,54492,1,0,0,0,88.2548985604549
2022091109,888,52428,1,0,0,0,58.3668065128064
2022091109,928,53494,1,0,0,0,69.141454315884
2022091109,1636,44926,1,0,0,0,59.5111986057323
2022091109,1729,43352,1,0,0,0,73.8036506721462
2022091109,1886,53448,1,0,0,0,50.6522403977954
2022091109,1915,53503,1,0,0,0,64.437016939516
2022091109,2404,43313,1,0,0,0,66.9426907205364
2022091109,2452,53448,1,0,0,0,56.2518817824429
2022091109,3544,46456,1,0,0,0,59.9330520520414
2022091110,514,53445,1,0,0,0,68.5427299828743
2022091110,543,53445,1,0,0,0,67.8384923391183
2022091110,1092,53445,1,0,0,0,66.0770336030346
2022091110,1312,44848,1,0,0,0,84.6973616488398
2022091110,1539,52539,1,0,0,0,41.9729834989578
2022091110,1649,46137,1,0,0,0,78.8165413697981
2022091110,2845,43376,1,0,0,0,78.9885434225537
2022091110,2978,53487,1,0,0,0,63.9109433409398
2022091110,3797,49410,1,0,0,0,76.9645576437827
2022091110,3821,52522,1,0,0,0,45.7294430725765
2022091111,475,42935,1,0,0,0,59.5073488310988
2022091111,694,53509,1,0,0,0,60.3333383384298
2022091111,730,46214,1,0,0,0,42.6450296542381
